image,accuracy,precision,recall,f1_score,iou,dice
image-110-1.jpg,0.4940185546874246,0.5939895894765009,0.5721024425179492,0.5828406038832353,0.41127385707937664,0.582840608881547
image-111-0.jpg,0.4410552978514952,0.7843300914498532,0.41324257662369496,0.5412925559317581,0.371076849117442,0.5412925604517398
image-111-1.jpg,0.7423553466795743,0.9543741921286669,0.6950408588365857,0.8043203604075194,0.6726888557193338,0.8043203652840102
image-112-0.jpg,0.5165863037108587,0.505838621259245,0.8341020957803195,0.6297607731517297,0.45959914712145683,0.6297607778517186
image-112-1.jpg,0.7631530761717585,0.7112182978050238,0.25064429456585474,0.37066168930213367,0.22749216144914772,0.37066169315586656
image-113-0.jpg,0.904479980468612,0.9999999999991218,0.6452855847684467,0.784405560736755,0.6452855847684467,0.7844055655046203
image-113-1.jpg,0.4209747314452483,0.710737104565775,0.44305420633370063,0.5458440500831904,0.37536830669447824,0.5458440548141289
image-114-1.jpg,0.30250549316401637,0.6321714990741577,0.16683286188156723,0.26399600358718556,0.15207108275053294,0.2639960068912902
image-115-0.jpg,0.5756530761717872,0.6908194742486954,0.5256940191874552,0.5970499545216467,0.42556751285802874,0.597049959429611
image-115-1.jpg,0.9921112060545362,0.982054090486998,0.9745819397985162,0.9783037425337686,0.9575289575281709,0.9783037475341062
image-116-0.jpg,0.7855834960936302,0.9501431102627914,0.7403725652624864,0.8322429634164097,0.7126850413018908,0.8322429683395215
image-117-0.jpg,0.45794677734368017,0.3394894894894258,0.9819761129202051,0.5045467186364472,0.3373871521300572,0.5045467224546019
image-117-1.jpg,0.46972656249992834,0.031502423263277055,0.006735285990602813,0.011097828752098545,0.005579878101122964,0.011097831654427438
image-118-0.jpg,0.33735656738276104,0.2847472431486599,0.14676007990767093,0.1936909292456031,0.10723022839871982,0.19369093373434457
image-118-1.jpg,0.8143157958983133,0.9427464485558701,0.2689922004542965,0.4185579782932206,0.26466856003367895,0.41855798174761405
image-119-0.jpg,0.36009216308588254,0.050636942675118916,0.020751084864099725,0.02943830733917235,0.014939045874142078,0.029438311462882866
image-119-1.jpg,0.8509521484373702,0.9999999999978486,0.3224195338510527,0.48762064255638143,0.3224195338510527,0.48762064624397417
image-12-0.jpg,0.6969299316405186,0.7636295603366205,0.8495545749727647,0.804303697695959,0.6726655459967908,0.8043037026818527
image-12-1.jpg,0.8769836425779912,0.866903193106768,0.9661748423975945,0.9138509492578064,0.8413679115342094,0.9138509542432398
image-121-0.jpg,0.5172729492186711,0.405910121238504,0.8641696551109647,0.5523672028273826,0.38156582934212074,0.5523672071765356
image-121-1.jpg,0.6747589111327096,0.3069202324347475,0.09115155318476563,0.14055884490242515,0.07559198542801822,0.14055884843347421
image-122-0.jpg,0.6023101806639706,0.873119801804604,0.4597144254733271,0.602304107787245,0.43092643944181513,0.6023041123063093
